InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
INV1656,P880,Extended human-resource database,2,2023-01-01,72.76,C176,Kenya,145.52
INV1725,P403,De-engineered mobile contingency,16,2023-01-02,40.27,C194,Ethiopia,644.32
INV1774,P809,Exclusive real-time policy,32,2023-01-02,15.21,C137,Egypt,486.72
INV1347,P277,Exclusive scalable hardware,47,2023-01-02,65.02,C168,Nigeria,3055.9399999999996
INV1252,P369,Self-enabling zero tolerance productivity,26,2023-01-03,36.91,C183,Egypt,959.6599999999999
INV1862,P697,Profound didactic focus group,5,2023-01-04,62.12,C163,Kenya,310.59999999999997
INV1334,P311,Cross-platform next generation initiative,46,2023-01-07,96.25,C157,Tanzania,4427.5
INV1310,P1026,Programmable user-facing Internet solution,18,2023-01-09,48.89,C126,Ghana,880.02
INV1030,P629,Decentralized tertiary project,27,2023-01-09,73.89,C173,Nigeria,1995.03
INV1345,P455,De-engineered tertiary customer loyalty,33,2023-01-10,98.08,C164,South Africa,3236.64
INV1196,P664,Managed well-modulated array,33,2023-01-12,59.16,C170,Rwanda,1952.28
INV1763,P770,Fundamental web-enabled challenge,47,2023-01-12,68.91,C168,Ghana,3238.77
INV1192,P314,Triple-buffered asynchronous Graphic Interface,8,2023-01-13,47.35,C121,Nigeria,378.8
INV1105,P375,Implemented context-sensitive intranet,24,2023-01-13,75.71,C175,Ghana,1817.04
INV1995,P850,Progressive client-server interface,26,2023-01-13,82.7,C153,South Africa,2150.2000000000003
INV1256,P821,Horizontal responsive encoding,32,2023-01-13,78.2,C151,Nigeria,2502.4
INV1476,P883,Digitized regional Internet solution,16,2023-01-13,52.09,C151,Morocco,833.44
INV1125,P232,Enterprise-wide optimal collaboration,24,2023-01-15,42.94,C167,Nigeria,1030.56
INV1122,P257,Phased high-level contingency,33,2023-01-18,95.95,C193,Ghana,3166.35
INV1564,P381,Mandatory multimedia model,4,2023-01-20,76.25,C157,Ghana,305.0
INV1653,P572,Advanced directional toolset,9,2023-01-21,5.03,C178,South Africa,45.27
INV1806,P930,Advanced stable attitude,17,2023-01-21,75.49,C200,Nigeria,1283.33
INV1672,P502,Polarized upward-trending data-warehouse,36,2023-01-23,49.83,C146,Nigeria,1793.8799999999999
INV1496,P408,Profound clear-thinking definition,12,2023-01-23,47.08,C155,Kenya,564.96
INV1337,P394,Customizable full-range application,38,2023-01-25,52.61,C105,Nigeria,1999.18
INV1873,P678,Distributed object-oriented encoding,6,2023-01-27,52.73,C164,Tanzania,316.38
INV1581,P918,Programmable 5thgeneration access,36,2023-01-27,53.51,C168,Nigeria,1926.36
INV1075,P921,Virtual tertiary pricing structure,36,2023-01-28,45.74,C188,South Africa,1646.64
INV1630,P1005,Fundamental mission-critical artificial intelligence,42,2023-01-29,20.89,C125,Nigeria,877.38
INV1522,P922,User-centric hybrid strategy,16,2023-01-31,79.09,C110,Kenya,1265.44
INV1585,P239,Open-source tertiary secured line,32,2023-01-31,91.27,C145,Kenya,2920.64
INV1218,P365,Synergized methodical concept,28,2023-01-31,20.42,C139,South Africa,571.76
INV1461,P270,Balanced composite alliance,37,2023-02-01,33.58,C167,Uganda,1242.46
INV1827,P677,Visionary analyzing extranet,50,2023-02-01,60.05,C112,Morocco,3002.5
INV1732,P1070,Fully-configurable dynamic interface,8,2023-02-03,67.27,C174,Tanzania,538.16
INV1804,P650,Multi-lateral national flexibility,10,2023-02-04,86.78,C151,Nigeria,867.8
INV1536,P351,Object-based next generation parallelism,37,2023-02-05,65.11,C197,Ethiopia,2409.07
INV1946,P1038,Cross-platform national task-force,14,2023-02-05,64.38,C153,Ethiopia,901.3199999999999
INV1267,P887,Managed attitude-oriented parallelism,25,2023-02-06,22.58,C147,Nigeria,564.5
INV1647,P903,Configurable multi-tasking flexibility,38,2023-02-08,48.96,C115,Tanzania,1860.48
INV1128,P610,Visionary eco-centric methodology,44,2023-02-10,91.27,C155,Kenya,4015.8799999999997
INV1443,P860,Synergized uniform neural-net,4,2023-02-11,26.76,C179,Ethiopia,107.04
INV1965,P304,Diverse content-based firmware,39,2023-02-13,41.54,C190,Nigeria,1620.06
INV1511,P245,Open-source web-enabled frame,34,2023-02-13,38.29,C134,Nigeria,1301.86
INV1366,P692,Future-proofed regional migration,29,2023-02-14,52.72,C192,Nigeria,1528.8799999999999
INV1901,P970,Multi-lateral intermediate moderator,18,2023-02-15,73.46,C150,Tanzania,1322.28
INV1253,P471,Vision-oriented national database,3,2023-02-15,86.25,C199,Egypt,258.75
INV1296,P443,Ergonomic human-resource customer loyalty,24,2023-02-17,95.9,C138,South Africa,2301.6000000000004
INV1258,P416,Progressive web-enabled firmware,41,2023-02-17,57.01,C187,Rwanda,2337.41
INV1775,P524,Focused analyzing knowledgebase,47,2023-02-19,94.04,C195,Nigeria,4419.88
INV1853,P952,Progressive radical process improvement,27,2023-02-20,89.77,C140,Nigeria,2423.79
INV1455,P750,Managed homogeneous success,30,2023-02-20,39.73,C101,Ghana,1191.8999999999999
INV1513,P541,Assimilated demand-driven artificial intelligence,10,2023-02-21,82.05,C142,Kenya,820.5
INV1291,P232,Upgradable attitude-oriented middleware,16,2023-02-23,83.97,C170,Nigeria,1343.52
INV1835,P798,Re-contextualized content-based policy,48,2023-02-24,50.54,C191,Nigeria,2425.92
INV1090,P850,Robust heuristic time-frame,26,2023-02-25,73.32,C131,South Africa,1906.3199999999997
INV1860,P479,Right-sized 24/7 product,42,2023-02-25,20.26,C135,Kenya,850.9200000000001
INV1234,P259,Front-line clear-thinking circuit,38,2023-02-26,33.08,C115,Nigeria,1257.04
INV1184,P317,Virtual radical benchmark,33,2023-02-26,53.97,C166,Egypt,1781.01
INV1609,P559,Front-line modular time-frame,41,2023-02-27,95.31,C184,Nigeria,3907.71
INV1649,P959,Team-oriented client-server Internet solution,46,2023-02-27,55.75,C161,Nigeria,2564.5
INV1175,P810,Profound full-range secured line,28,2023-03-01,78.27,C182,Tanzania,2191.56
